text,intent
"liệt kê các sự kiện chính",summarize_video
"tổng quan luồng xe trong video",summarize_video
"video này có ùn tắc hay vi phạm không",summarize_video
"nêu nhận xét tổng quan",summarize_video
"hãy viết tóm tắt cho giảng viên",summarize_video
"tạo mô tả ngắn của video",summarize_video
"tổng hợp thông tin truy xuất được",summarize_video
"cho biết kết luận phân tích",summarize_video
"tóm tắt theo event timeline",summarize_video
"video camera này ghi lại gì",summarize_video
"tình hình giao thông trong video ra sao",summarize_video
"cho tôi bản tóm tắt nhanh",summarize_video
"tìm xe bus trong camera",search_object
"tìm đoạn có xe con màu trắng",search_object
"cho tôi xem xe máy màu đen",search_object
"tìm phương tiện ở giây 10",search_object
"đoạn từ giây 5 đến 15 có xe nào",search_object
"tìm người tại khoảng 20 giây",search_object
"tìm xe đạp màu xanh",search_object
"cho tôi xem phương tiện bên trái",search_object
"tìm xe tải màu đỏ",search_object
"tìm ô tô từ trái sang phải",search_object
"tìm bus ở gần đèn giao thông",search_object
"tìm xe máy trong khoảng từ 10 đến 30 giây",search_object
"tìm người đi bộ tại giây 12",search_object
"cho xem xe hơi màu đen",search_object
"tìm mọi đối tượng giao thông",search_object
"đoạn nào xe máy rời khỏi khung hình",search_action
"ô tô dừng từ 5 giây trở lên",search_action
"tìm xe tải đi sai hướng",search_action
"phát hiện xe bus đứng yên",search_action
"có người vào vùng cấm không",search_action
"tìm phương tiện đổi hướng bất thường",search_action
"xe đạp có đi ngược chiều không",search_action
"đoạn nào có xe dừng lâu",search_action
"có đông xe ở ngã tư không",search_action
"phát hiện phương tiện vào góc cấm",search_action
